timestamp_ms,ax,ay,az,gx,gy,gz
0,5.8689957,6.250651,3.842873,0.12858713,-0.2591596,0.12156218
17,5.8247285,6.1657057,3.9565322,0.22235495,-0.2657264,0.064446285
35,5.7744794,6.4408803,3.3409786,0.17608191,-0.44684792,0.017715093
53,5.4987063,6.6017976,2.4424736,0.06246097,-0.66645396,0.11453723
71,5.2073803,6.1567326,2.3844478,0.012370021,-0.7892379,0.26343563
89,5.436493,5.8283176,2.7475586,0.13133603,-0.8912524,0.36056322
107,5.7056856,5.681159,3.1692936,0.31322116,-0.90178984,0.43569964
125,5.928218,5.72423,3.3056846,0.3930918,-0.82894415,0.5209153
143,6.022136,5.6793647,2.7846475,0.38515055,-0.81413066,0.6441574
161,5.9300127,5.3796635,2.0877378,0.4025602,-0.88789266,0.7948884
179,5.7541404,4.8885365,1.8723837,0.52732944,-1.0277808,0.9540188
197,5.6093745,4.282554,1.8903298,0.72112644,-1.2060007,1.1252137
215,5.5710893,3.6556349,1.7886349,0.91354895,-1.4026994,1.3158038
233,5.5310097,3.0287154,1.5080764,1.0859656,-1.5922203,1.5502232
251,5.4496536,2.4364917,1.2610176,1.2603678,-1.7432567,1.8310685
268,5.5597234,1.995614,1.134198,1.425454,-1.8865047,2.100002
286,6.0191455,1.8113668,0.76989067,1.5242615,-2.0173824,2.3254113
304,6.4797635,1.7282162,0.20398813,1.4941764,-2.1105394,2.5251641
322,7.088737,1.6420746,-0.54376894,1.3567317,-2.1766655,2.7021625
340,7.640881,1.3513466,-0.77407813,1.246776,-2.143068,2.9049697
358,8.04467,0.738784,-0.096311115,1.3254249,-1.9147571,3.1447344
376,8.349754,-0.076570325,0.76570326,1.5954273,-1.6013832,3.403894
394,8.758329,-0.5988039,0.8279166,1.8102992,-1.2716687,3.58471
412,9.91167,-0.3080759,-0.41575295,1.6560557,-1.0247264,3.581503
430,11.042278,0.32123643,-1.7515461,1.2157745,-0.9627236,3.507741
448,11.531013,0.30987054,-2.8241289,0.743423,-0.9092729,3.462995
466,11.663216,-0.34097722,-2.7146573,0.5337435,-0.6385069,3.4214563
484,11.571691,-1.1617154,-1.3435699,0.73792523,-0.24251351,3.3567045
502,11.19482,-1.66361,-0.27158538,1.1491902,0.14263703,3.345098
519,10.754541,-1.7138592,-0.8650054,1.2779301,0.38637227,3.4008396
537,10.797612,-1.3854443,-2.8612177,0.8915578,0.36774087,3.4573445
555,10.903495,-1.0713863,-4.7515473,0.14905111,0.18768835,3.5451565
573,11.015359,-1.4434702,-5.9066825,-0.70952,0.107665,3.4944546
591,11.429915,-1.9944177,-5.6554365,-1.3610078,0.19990565,3.1583261
