timestamp_ms,ax,ay,az,gx,gy,gz
0,4.0815573,-5.617749,5.237889,-0.055283304,-0.11927144,0.03970624
17,4.087539,-6.2721863,6.8578296,-0.018478673,-0.12858713,-0.0096211275
35,4.185645,-6.2877398,6.486344,0.07651087,-0.10323623,0.035888333
53,4.464409,-5.736792,5.9694943,-0.0015271631,-0.051923547,0.021838432
71,4.2969112,-5.9754763,6.320641,-0.032375857,-0.029932396,0.016646078
89,4.2927237,-5.9844494,6.361319,0.017104227,-0.032986723,0.009773844
107,4.24726,-5.853442,6.1794643,-0.0053450707,-0.0627664,-0.0041233404
125,4.241876,-5.914459,6.389435,-0.014202617,-0.09407325,-0.007483099
143,4.301099,-6.0023956,6.4683976,0.004428773,-0.10415252,-0.02107485
161,4.31067,-6.038288,6.4235325,0.0056505036,-0.09040806,-0.028252518
179,4.339982,-6.0777693,6.389435,-0.0021380284,-0.08109236,-0.030390546
197,4.3561335,-6.142974,6.3535423,-0.0015271631,-0.06505715,-0.031001411
215,4.2634115,-6.198607,6.257231,0.009162978,-0.06490443,-0.026725354
233,4.158128,-6.2530437,6.1381884,0.02733622,-0.095294975,-0.025503624
251,4.1551366,-6.227321,6.093921,0.038026363,-0.14355333,-0.027030786
268,4.2520456,-6.1154566,6.1244297,0.03680463,-0.182496,-0.021533
286,4.371089,-6.035297,6.2261243,0.02687807,-0.183565,-0.01282817
304,4.371687,-6.0341005,6.3248286,0.022143865,-0.16829337,-0.01786781
322,4.2717867,-6.0287166,6.3044896,0.022602014,-0.1611157,-0.010842858
340,4.2341,-6.0083776,6.215357,0.024587326,-0.18081611,-0.0053450707
358,4.3088756,-5.994619,6.067002,0.018325957,-0.21426098,0.0038179078
376,4.386044,-6.0436716,6.133403,0.019394971,-0.21395555,0.015577064
394,4.282554,-6.2751775,6.2602224,0.06261369,-0.20677789,0.007483099
412,3.9852462,-6.558727,6.148956,0.12950343,-0.23426682,0.0096211275
430,3.6604204,-6.8578296,5.9342003,0.21975878,-0.3126103,0.020005837
448,3.2327034,-7.225128,5.657231,0.37384954,-0.43982297,0.043218717
466,2.5357938,-7.676773,5.1403813,0.592692,-0.6626361,0.14309518
484,1.9375881,-8.080562,4.6396832,0.8729264,-0.9784534,0.29810223
502,1.3220345,-8.292925,4.0516467,1.2003502,-1.4025466,0.47067168
519,0.738784,-8.35454,3.0921252,1.5100589,-1.9614882,0.6800457
537,0.62452674,-8.213962,1.9148563,1.7429513,-2.7061331,0.90484416
