timestamp_ms,ax,ay,az,gx,gy,gz
0,3.9343987,-5.3676996,5.5405807,-0.27473664,0.16875152,-0.04627304
17,4.080361,-4.881358,3.9134614,-0.5919284,-0.10262536,-0.060170226
35,4.2717867,-5.1589255,3.8781674,-0.8597928,-0.22204952,-0.009315695
53,4.618148,-5.857032,4.7359943,-0.91446525,-0.14034629,0.006872234
71,5.0195436,-6.161518,5.2199426,-0.8755226,0.082924955,-0.029168816
89,5.00399,-6.135197,4.9986067,-0.9285152,0.34895676,-0.033292156
107,4.7952166,-6.047859,4.434499,-1.0528263,0.52534413,-0.021838432
125,4.491926,-6.04427,4.0564327,-1.1939361,0.57894754,-0.027183503
143,4.06062,-6.2530437,3.8973098,-1.410946,0.5374087,1.5271631E-4
161,3.7441692,-6.6831536,3.9655054,-1.7108809,0.48502702,0.05665775
179,3.6729827,-6.8339014,4.356732,-1.864208,0.44913867,0.07651087
197,3.4761732,-7.120442,4.516453,-1.9231565,0.43600506,0.09896017
215,3.263212,-7.381858,3.9750767,-2.0286834,0.40515637,0.16447547
233,3.2027931,-7.4859457,3.4187453,-2.2067506,0.3538437,0.21762075
250,3.1393833,-8.02792,3.0376883,-2.4784331,0.31978795,0.27259862
268,3.0382864,-8.618349,3.1423743,-2.6710083,0.30176744,0.32834008
286,2.9742785,-9.011969,3.4366915,-2.6673431,0.268628,0.34865135
304,2.778067,-9.336794,3.6197424,-2.538756,0.24785857,0.3791946
322,2.7098715,-9.556335,3.1770704,-2.4514022,0.2396119,0.4269948
340,2.821138,-9.7399845,2.678765,-2.4766004,0.25427267,0.44929138
358,2.949752,-10.119845,2.5609183,-2.4839308,0.22128594,0.4176791
376,2.8073792,-10.65823,3.1334012,-2.315332,0.19226983,0.39660427
394,2.696711,-11.026127,3.714259,-1.9776763,0.20357084,0.39660427
412,2.9599216,-10.846066,3.9086757,-1.5888605,0.2507602,0.37216964
430,3.354139,-10.47817,3.7022948,-1.2666291,0.31322116,0.3034473
448,3.566502,-10.5690975,3.5796626,-1.0483974,0.34391713,0.22342396
466,3.5820556,-10.677971,3.8255253,-0.796721,0.32574388,0.15347989
484,3.5150564,-10.749158,4.4039903,-0.4538729,0.3182608,0.12583824
501,3.7459638,-10.432109,4.747958,-0.10552697,0.39813143,0.08628472
519,4.1587257,-10.369297,4.5684967,0.09758572,0.4775439,9.162979E-4
537,4.2370906,-10.487741,4.6695933,0.345597,0.5279403,-0.11499538
555,4.000201,-10.772488,5.352146,0.7829765,0.60994893,-0.23609942
573,3.7567315,-10.936396,5.3886366,1.2177598,0.6232353,-0.34101552
591,3.690929,-10.792827,4.7778687,1.5192219,0.5326745,-0.43203443
609,3.7537405,-10.617552,4.5469613,1.7696766,0.44425175,-0.5271767
627,3.81057,-10.844871,4.8382874,2.0807598,0.38331795,-0.62125
645,3.9146578,-10.967503,5.3832526,2.4860687,0.37048978,-0.7516697
663,3.9080775,-11.059028,5.495117,2.86114,0.34880406,-0.86498517
681,3.9194436,-11.005788,5.3449674,3.1418326,0.29856038,-0.95340794
699,4.080361,-10.683953,5.2283173,3.3635767,0.21945333,-1.0589349
717,4.093521,-10.554143,5.371289,3.5436292,0.12492194,-1.1381947
735,4.0797625,-10.444073,5.6584272,3.711159,0.03756821,-1.1884383
752,4.1754756,-10.035499,5.7990055,3.843564,-0.07009678,-1.2359331
770,4.258626,-9.399606,5.849853,3.8805215,-0.1797471,-1.2896893
788,4.2311087,-8.732008,5.9653068,3.862501,-0.24770586,-1.3158038
806,4.11386,-8.106883,5.9676995,3.803247,-0.32268956,-1.2883148
824,4.179663,-7.26102,6.108876,3.7174203,-0.356898,-1.2545645
842,4.265805,-6.4797635,6.256035,3.5921931,-0.37888917,-1.2084441
860,4.4452662,-5.636294,6.468996,3.487735,-0.35888332,-1.1823297
878,4.4602213,-4.743771,6.4366927,3.3455563,-0.33078352,-1.1475104
896,4.415954,-4.1982074,6.31765,3.2033772,-0.39400807,-1.0711522
914,4.4392843,-3.5114672,6.5569324,3.1051807,-0.3622431,-1.0080804
932,4.421936,-2.6626134,6.6299133,2.9518535,-0.27015516,-0.94225967
950,4.563711,-2.1601207,6.4797635,2.796083,-0.2919936,-0.8651379
968,4.7102714,-1.8843478,6.777072,2.722779,-0.28588495,-0.80878556
986,4.692325,-1.3938192,7.0145597,2.6494753,-0.21670444,-0.7512115
1003,4.517649,-0.6011967,6.40439,2.490803,-0.22220223,-0.6774496
1021,4.6342993,0.060418773,6.1274204,2.301893,-0.34116822,-0.63255095
1039,4.74078,0.23449662,6.3942204,2.1736112,-0.3724751,-0.61391956
1057,4.788636,0.62452674,6.5635123,2.070375,-0.33567044,-0.57558775
1075,4.9405804,1.1419746,6.3678994,1.9468275,-0.37018433,-0.54168475
1093,5.2779684,1.1335998,6.6646094,1.8741345,-0.41798455,-0.52870387
1111,5.358128,1.2430713,6.9266233,1.8492419,-0.312763,-0.5120578
1129,5.3036914,1.8532411,6.756733,1.7736472,-0.17577648,-0.45769078
1147,5.1260242,2.6129622,6.013163,1.6270396,-0.17821993,-0.40118575
1165,5.0440702,3.1513474,5.486144,1.4515685,-0.31306845,-0.36987892
1183,5.096114,3.4121652,5.451448,1.322676,-0.46043968,-0.364992
1201,5.3270216,3.4995031,5.803193,1.2502885,-0.4906775,-0.35353827
1219,5.5651073,3.6394832,6.023931,1.1543826,-0.37522396,-0.3034473
1237,6.046663,3.6819558,6.250651,1.0720685,-0.24297164,-0.26465738
1254,6.4480586,3.610171,6.7429743,1.0697777,-0.09712757,-0.2835942
1272,6.5431733,3.3326037,7.3860455,1.1545353,0.11484267,-0.32375857
1290,6.1938214,3.7854455,6.838089,1.1817188,0.31612277,-0.32085696
1308,5.7451673,4.5188456,5.9838514,1.119716,0.27763826,-0.30848694
1326,5.401199,4.822136,5.715855,1.0603093,0.086437434,-0.33307427
1344,5.1667023,4.7341995,5.964709,1.0997101,-0.15943582,-0.3575089
1362,5.151149,4.5942197,6.3888364,1.2044735,-0.3155119,-0.34529158
1380,5.4759746,4.686343,6.734599,1.3205379,-0.30909783,-0.31658092
1398,5.6554365,5.0829535,6.8817577,1.4547756,-0.1601994,-0.27183503
1416,5.4299126,5.124828,6.4911294,1.5609134,-0.095753126,-0.18616119
1434,5.2630134,5.1008997,6.5760746,1.7421877,-0.08155051,-0.08689558
1452,5.165506,5.428118,6.7704916,2.0082195,0.00580322,-0.009315695
1470,5.0123653,5.8450675,6.0891356,2.2310326,0.06414085,0.078343466
1488,4.996812,6.0580287,5.447261,2.3512204,0.10125092,0.17027868
1505,5.1667023,6.2715883,4.975875,2.4642303,0.09621128,0.2302962
1523,5.5226345,6.4606214,4.82752,2.5825856,0.19181168,0.2180789
1541,5.493921,6.6622167,3.8267217,2.5653286,0.3391829,0.2519819
1559,5.616553,6.6442704,2.8522446,2.4840834,0.3145956,0.28878653
1577,5.4646087,6.497112,2.9958138,2.4312437,0.39553526,0.35002577
1595,5.340182,6.690332,2.3264217,2.2930355,0.5352707,0.4392121
1613,5.703293,7.140781,0.6155536,2.0305161,0.38988474,0.41645738
1631,6.1531434,7.423134,0.01375873,1.7200438,0.19593503,0.2875648
1649,6.2865434,7.205387,-0.27337998,1.3365731,0.109650314,0.15485434
1667,6.2931237,7.0492554,-0.8787641,0.86651236,0.0036651916,0.057421334
1685,6.4085774,7.1599236,-1.9268204,0.2764165,-0.17669277,-0.064751714
1703,6.409774,7.2705917,-2.658426,-0.4213443,-0.32528573,-0.19776763
1721,6.2237315,7.3926253,-2.8989046,-1.1366675,-0.46196684,-0.3016147
1739,5.913263,7.1096745,-2.8139594,-1.8290832,-0.61544675,-0.36209038
1756,5.474778,6.595217,-1.9950159,-2.4550674,-0.66675943,-0.3575089
1774,4.8119664,6.053841,-1.0648061,-3.0115657,-0.54702985,-0.2350304
1792,4.0594234,5.666204,-0.5605187,-3.540575,-0.35537085,0.015118915
1810,3.5353954,5.180461,-0.44865423,-4.0692787,-0.18081611,0.35078937
1828,3.3481572,4.502694,-0.47078785,-4.546059,-0.111635625,0.66706485
1846,3.2446675,3.751946,-0.762114,-5.0051246,-0.26847526,0.8857546
1864,3.016751,3.0819557,-0.85124665,-5.4200544,-0.42760566,1.0538952
1882,2.656033,2.1355941,0.21415763,-5.7198367,-0.63209283,1.3800973
1900,2.989832,0.47078785,0.8536395,-5.992588,-1.0810788,1.8310685
1918,4.1198425,-1.5188441,2.0416758,-6.135072,-1.4213307,2.191021
1936,5.684748,-3.0885358,4.6145587,-5.9637246,-1.3591752,2.3226624
1954,6.8333035,-3.4683964,7.2125654,-5.516724,-0.77946407,2.2988386
1972,7.5379896,-3.2709885,6.802795,-5.3688946,-0.31810808,2.3574817
1990,7.966903,-5.1026945,5.8893347,-5.5477257,-0.13240504,2.663067
2007,8.449655,-6.5515485,7.926225,-5.402645,0.5693264,2.7969992
2025,8.264212,-6.361319,9.558728,-5.0153565,1.4840971,2.69697
2043,7.588837,-6.044868,7.192825,-4.975803,1.6737708,2.562885
2061,6.5922265,-7.1629148,4.4548373,-5.328272,1.3545936,2.5222626
2079,5.796015,-9.382257,4.985446,-5.3893585,1.1705705,2.4396431
2097,5.4873405,-10.794621,6.6442704,-4.956713,1.2583824,2.2241604
2115,5.5543394,-11.497513,5.671588,-4.703204,1.0630583,1.9905044
2133,5.6189456,-11.473584,3.8853457,-4.7128253,0.63713247,1.7460055
2151,4.971089,-11.545369,3.6233318,-4.660902,0.36865717,1.5952746
2169,3.9978085,-12.095718,3.4163525,-4.5124617,0.2171626,1.589624
2187,3.562913,-12.483953,2.9533412,-4.336838,0.12293663,1.6383406
2205,3.821936,-12.697514,2.3814569,-4.158923,0.0010690142,1.6134478
2223,4.284947,-12.842279,2.2522442,-3.8676932,-0.123547494,1.4784466
2241,4.6037908,-12.709477,3.0113673,-3.312264,-0.09743301,1.2542591
2258,4.703691,-12.3194475,4.0211387,-2.5369234,0.06841691,0.97310835
2276,4.87418,-11.909677,4.1180477,-1.7643316,0.069027774,0.66874474
2294,4.964509,-11.33181,4.2017965,-1.0670289,-0.04260785,0.39064834
2312,5.0542397,-11.041081,4.232305,-0.5225952,-0.21777347,0.17440203
2330,5.3742795,-10.919048,4.2652063,-0.15195273,-0.43035457,0.03145956
2348,5.9587264,-11.189437,4.880162,0.129198,-0.41615194,-0.043676864
2366,6.708278,-11.126027,6.0640106,0.58062744,-0.07238753,-0.1872302
2384,7.009176,-10.825727,6.6185474,1.1368202,0.42577308,-0.40882155
2402,6.71426,-11.023734,5.7930236,1.6226108,0.6366743,-0.65316767
2420,6.1621165,-11.324632,5.4029937,2.1784983,0.59315014,-0.9297369
2438,5.73081,-11.848062,5.358128,2.8388436,0.4286747,-1.2286028
2456,5.5663037,-12.372687,5.157729,3.497967,0.124005646,-1.5572482
2474,5.4909296,-12.75195,4.965107,4.0784416,-0.25473082,-1.8788688
2492,5.4299126,-13.2610235,5.050052,4.5097127,-0.5746715,-2.1230621
2509,5.682954,-13.50569,5.791229,4.9674034,-0.7837401,-2.344959
2527,6.0987067,-13.753944,6.7633133,5.478698,-0.8961393,-2.6021333
2545,6.181857,-13.906487,7.2472615,5.9342504,-0.9831876,-2.809064
2563,5.919843,-13.700106,6.901499,6.137974,-1.016327,-2.8577802
2581,6.062814,-12.633506,6.005985,6.10514,-1.1531608,-2.846632
2599,6.1118674,-11.15833,5.762515,6.0358067,-1.2727377,-2.8269317
2617,5.898906,-10.013963,6.157331,6.057187,-1.2906055,-2.7757716
2635,5.8037915,-9.145967,6.135197,6.108347,-1.3455834,-2.7440066
2653,5.7948184,-8.072785,5.5250273,6.0322943,-1.4164438,-2.7821858
2671,5.636892,-6.2979093,4.9842496,5.8646116,-1.272585,-2.8011227
2689,5.272585,-4.74078,4.322036,5.7262506,-1.2235631,-2.702468
2707,5.096114,-3.964309,4.3722854,5.62164,-1.1326969,-2.5477662
2725,5.2516475,-3.2273195,4.4075794,5.5287886,-0.80909103,-2.400395
2743,5.4352965,-2.2277179,4.0797625,5.428454,-0.34116822,-2.2392793
2760,5.536393,-1.3830515,3.478566,5.2517614,0.090713486,-2.0205896
2778,5.831309,-0.6753742,2.5082762,5.0211596,0.34574974,-1.8524488
2796,5.6853466,0.4636094,1.6767704,4.8036914,0.622319,-1.7340937
2814,4.985446,1.9058832,0.82313097,4.4935246,0.9798279,-1.549307
2832,4.186243,3.3810585,-0.50488555,3.9602394,1.1562152,-1.3199271
2850,3.923631,4.3704906,-1.6325033,3.5459201,0.75334954,-1.2483032
2868,3.528217,4.4913282,-1.7988044,3.227812,0.34666604,-1.1800389
2886,3.629912,4.307679,-2.4340987,2.6842947,0.28084528,-0.9593639
2904,4.5768714,5.0105705,-4.0683966,1.8472565,0.22464569,-0.71868294
2922,5.392824,5.8677993,-4.9770713,0.8535315,0.21548271,-0.54229563
2940,5.4311094,5.981458,-5.040481,-0.08689558,0.22036964,-0.39003745
2958,4.56072,5.811568,-4.9692945,-0.88514376,0.074067414,-0.15561792
2976,3.74058,5.65424,-4.598407,-1.6003143,-0.11224649,0.19593503
2994,3.4301112,5.72423,-3.667599,-2.307849,-0.08903361,0.6030767
3012,3.4157543,5.8432727,-2.6991038,-2.988811,0.078343466,1.0242683
3029,3.7220356,5.8450675,-1.9286151,-3.6077702,0.23564127,1.3733778
3047,4.150949,5.6823554,-1.599602,-4.1712933,0.3203988,1.5714508
3065,4.426722,5.273183,-1.1006985,-4.6831985,0.56153786,1.6525432
3083,4.360321,4.3328037,-0.0017946169,-5.1272974,1.0059423,1.7040086
3101,4.374678,3.022135,0.13758731,-5.570938,0.8378017,1.7507398
3119,4.176672,1.0546366,0.24646074,-5.90386,0.2837469,1.8811595
3137,4.395615,-0.7962117,2.487339,-5.9847994,0.014049901,2.0318906
3155,5.543572,-1.6013966,4.9142594,-5.7289996,0.04352415,2.0237966
3173,6.878767,-1.814956,5.611169,-5.5309267,0.24724771,1.9294178
3191,7.157531,-2.6895328,5.252246,-5.6718836,0.52946746,1.9903517
3209,7.1862445,-4.791029,6.3882384,-5.754809,0.73899424,2.257147
3227,7.4356966,-6.795018,9.929616,-5.20335,1.4410311,2.485458
3245,7.696514,-5.7260246,9.700503,-4.631733,2.2414174,2.340683
3262,6.736394,-4.1084766,5.6153564,-4.887686,2.088701,2.1503985
3280,5.06082,-5.59741,2.349752,-5.811161,1.3787229,2.2052236
3298,4.366303,-10.317253,3.1459637,-6.1946316,0.6424775,2.3506095
3316,4.398008,-12.742379,10.285548,-4.8887544,0.9283624,2.2325597
3334,5.000401,-11.727822,9.38465,-4.0129266,1.3286319,1.8767308
3352,5.2869415,-10.7348,2.5860431,-4.4970374,0.47128254,1.6426166
3370,4.4751763,-10.6103735,1.4279169,-5.01444,-0.118202426,1.5331191
3388,3.298506,-12.003594,3.8907297,-4.8123965,-0.44638976,1.6053538
3406,3.0000014,-14.017155,4.8323054,-4.3171372,-0.5899431,1.7547104
3424,3.9798622,-13.551751,4.9585266,-3.770413,-0.47891834,1.7188221
3442,5.0099726,-12.15195,4.664808,-3.3014212,-0.24510968,1.4382823
3460,5.419743,-11.849257,3.9541395,-2.8903089,-0.19318613,1.056186
3478,4.97408,-11.949158,4.555336,-2.2542455,-0.26374108,0.75228053
3496,4.6295137,-12.044871,5.4999027,-1.4410311,-0.35705075,0.56153786
3514,5.011169,-11.687144,5.4125648,-0.7669413,-0.5138904,0.3735441
3531,5.6877394,-11.203196,5.0051866,-0.35964692,-0.6097962,0.2041817
3549,6.339185,-10.938788,5.3766723,0.019394971,-0.41141775,0.069791354
3567,6.768099,-10.815558,6.131608,0.49632803,-0.005955936,-0.10170906
3585,6.7878394,-11.020742,6.044868,0.93783087,0.2519819,-0.30833423
3603,6.3834524,-11.239686,5.9706907,1.4263704,0.37950003,-0.50488013
3621,6.031708,-11.318051,5.940182,1.9643899,0.49312097,-0.7165449
3639,5.7924256,-11.422737,5.48076,2.4512496,0.5039638,-0.9486737
3657,5.6853466,-11.649457,5.1385865,2.9735394,0.39202276,-1.2360858
3675,5.4676,-12.090933,5.36411,3.5537086,0.26725355,-1.5338826
3693,5.200202,-12.73879,5.2085767,4.0463715,0.06536258,-1.7583756
3711,5.250451,-13.030116,5.2947183,4.46573,-0.12660182,-1.9668334
3729,5.4933224,-12.9643135,5.994021,4.8690543,-0.21074851,-2.1904101
3747,5.6482577,-13.017553,6.257829,5.1612005,-0.27412578,-2.3677137
3765,5.6303115,-12.827324,6.5491557,5.380959,-0.26313022,-2.4546092
3782,5.6668024,-12.31526,6.9613194,5.6011763,-0.19440787,-2.5030203
