timestamp_ms,ax,ay,az,gx,gy,gz
0,-3.6496527,1.3034902,9.265608,0.1685988,0.004886922,-0.028710667
17,-3.9984066,1.3663018,8.931808,0.34437528,0.08445212,0.05757405
35,-4.0642095,1.6600207,8.5728855,0.4541783,0.14859296,0.17531833
53,-3.8775692,1.777269,7.9651084,0.47418416,0.23869559,0.2764165
71,-3.7483566,2.2737796,7.584051,0.4280638,0.34025195,0.20891592
89,-4.0594234,2.3347967,6.9003024,0.32467487,0.3182608,0.15882497
107,-4.4781675,2.2899313,6.4163537,0.1693624,0.2507602,0.16982053
125,-4.4751763,2.3425734,6.075975,0.0067195175,0.18448131,0.14782938
143,-4.2125645,2.3694925,5.6147585,-0.12370021,0.12705997,0.08384126
161,-3.888337,2.3042881,5.148158,-0.26358834,0.09896017,0.017104227
179,-3.5509489,2.184049,4.671986,-0.39477167,0.122478485,-0.06658431
197,-3.3110683,1.9746768,4.1587257,-0.38148534,0.182496,-0.17058411
215,-2.8935208,1.835295,3.60718,-0.37384954,0.24037547,-0.29642236
233,-2.5794628,1.6683956,3.054438,-0.50228393,0.40286562,-0.4552473
251,-2.4903302,1.4039887,2.7529426,-0.74204856,0.71776664,-0.61590487
268,-3.001796,0.6257231,2.6111677,-1.0372492,1.1682798,-0.58184916
286,-3.6149569,-0.21595225,2.333002,-1.2910637,1.4219415,-0.39461896
304,-3.5563326,-0.4031906,2.6404798,-1.5668694,1.5656476,-0.42852196
322,-3.708277,-0.99302137,2.5669005,-2.021353,1.7342464,-0.7170031
340,-4.92742,-2.658426,3.1082766,-2.6163359,1.9582813,-0.9634872
358,-6.79442,-4.7455654,4.2771707,-3.3119586,2.3990204,-0.839787
376,-8.198408,-6.382256,5.786443,-3.9145772,2.9796479,-0.48487428
394,-9.379267,-7.7623167,7.8167534,-4.1153994,3.3965635,-0.33735034
412,-11.057234,-9.573085,9.47797,-3.9220603,3.7669005,-0.4268421
430,-12.519248,-10.085149,10.127024,-3.5859318,3.7969856,-0.49663344
448,-13.683954,-9.531809,10.2347,-3.4796412,3.1994066,-0.398895
466,-14.007584,-7.797013,10.594222,-3.5995235,2.0143282,-0.16615535
484,-13.627723,-5.896513,11.610574,-3.7438405,0.40118575,0.23579398
502,-12.406187,-5.2576294,13.103097,-3.787212,-1.3046554,0.77396625
519,-10.201799,-6.416952,14.645271,-3.1991012,-2.5274549,1.043816
537,-7.6809607,-6.1196437,16.222141,-1.8538233,-2.525317,0.6797403
555,-6.058627,-4.679763,16.158133,-0.4992296,-1.8252654,0.31230485
573,-5.9359946,-3.3224342,15.756737,0.29443705,-1.0430524,0.3370449
591,-7.1413794,-2.4789643,15.901503,0.8349001,-0.52824575,0.572228
609,-8.493922,-2.792424,16.222141,1.4485142,-0.57558775,0.7351763
