timestamp_ms,ax,ay,az,gx,gy,gz
0,-4.7341995,1.3896317,8.300103,-0.42439863,-0.21975878,0.119729586
17,-4.56072,1.3627125,8.6345005,-0.58001655,-0.27320948,0.27977628
35,-4.5397825,1.9298115,8.366505,-0.7519751,-0.34529158,0.4625777
53,-3.4666018,1.4321043,8.734999,-1.0137309,-0.3378085,0.61422503
71,-2.9688947,1.4267205,10.040284,-1.2119566,0.14874569,0.5204572
89,-3.638885,2.5070798,11.110474,-1.1079569,0.33337972,0.34345898
107,-4.0869412,1.5116657,9.84467,-0.63529986,0.3184135,0.27183503
125,-4.2831526,0.40558344,9.842278,-0.20906863,-0.001985312,0.36254853
143,-3.8261235,0.4755735,9.604192,0.05222898,-0.1731803,0.3472769
161,-3.3613176,1.3615161,9.507282,0.18112154,-0.25961772,0.055588737
179,-3.3236306,1.5086746,9.204591,0.32986724,-0.3352123,-0.22143865
197,-3.6460636,1.5194423,9.531211,0.2779437,-0.19853121,-0.36102137
215,-3.8805602,1.5296118,9.372686,0.21227567,0.07895433,-0.37812558
233,-3.9696927,1.591227,8.882756,0.22983804,0.16081028,-0.3640757
251,-4.0588255,1.805983,8.880961,0.35842517,-0.2527455,-0.23701571
268,-3.5048869,1.9728823,8.889337,0.5334381,-0.73823065,-0.10476339
286,-3.3296127,1.6701902,8.995817,0.52778757,-0.9222538,0.005497787
304,-3.3020952,1.774278,9.370892,0.4092797,-0.6780604,0.10277808
322,-3.4660037,2.053042,9.28116,0.23762658,-0.32528573,0.16752979
340,-3.4827533,2.1050856,9.396016,0.13194689,-0.1788308,0.18509217
358,-3.9619162,1.1018949,9.529416,0.19685133,-0.16523905,0.26984972
376,-3.2087753,2.0985055,9.362516,0.29764408,-0.18692477,0.2724459
394,-2.4933212,3.5288153,9.672985,0.3640757,-0.2932153,0.13729197
412,-2.53041,4.025326,9.352945,0.3119994,-0.11591168,-0.16264287
430,-3.2572298,3.737589,8.836694,0.17440203,-0.18219055,-0.30283645
448,-3.5880375,3.167499,10.213763,0.09392053,-0.21044308,-0.34315357
466,-4.412365,2.6566312,10.874781,0.2041817,0.15989397,-0.23090707
484,-5.0123653,2.4418755,10.773684,0.5018258,0.45891252,0.04795292
502,-4.167699,2.8289146,9.766904,0.8359691,0.40240747,0.2761111
519,-2.7619154,3.673581,9.859028,0.97417736,0.33826664,0.18692477
537,-2.815754,3.662215,9.633504,0.84513205,0.40790528,0.025198191
555,-3.5946178,3.760919,10.6205435,0.7469355,0.5505423,0.059253927
573,-4.334598,3.7525442,11.207981,0.89812464,0.82619524,0.23105977
591,-5.3216376,3.3164523,11.438889,1.1756102,1.0413725,0.44440445
609,-5.3653064,3.5168512,11.4699955,1.5424347,1.0033462,0.5936083
627,-4.537988,4.0127635,11.100903,1.927738,0.91431254,0.5664248
645,-4.000201,4.7826543,10.526027,2.1200078,1.0068586,0.43982297
663,-4.38066,5.4795637,9.938589,2.1022928,1.239751,0.2947425
681,-6.4444695,5.5483575,10.166505,2.05434,1.4378241,0.3932445
699,-7.1563344,5.9491553,10.297512,2.1923954,1.4121678,0.691194
717,-6.707082,6.1387863,10.215558,2.3706152,1.151481,0.90469146
735,-6.1525455,6.418747,10.034302,2.5262332,1.031446,0.8738427
753,-6.3122663,6.259026,9.3409815,2.7204883,0.9448558,0.74388117
770,-6.476773,6.0634127,8.507681,2.813798,0.8257371,0.7093673
788,-6.3972116,5.933004,7.600203,2.679713,0.66767573,0.8200866
806,-6.384051,5.895915,7.752147,2.4711027,0.7334964,1.1395692
824,-5.9138613,6.3481584,8.741579,2.522568,0.98440933,1.4576772
842,-5.9970117,7.0301127,9.944571,2.8052459,1.4187346,1.590235
860,-6.468996,8.318648,10.164112,3.2618678,1.9645426,1.7295122
878,-6.399006,9.446864,8.916854,3.9000692,2.4811819,1.8454239
896,-6.4037914,10.338788,6.466005,4.390899,2.854726,1.9801197
914,-6.4354963,10.887343,4.0612183,4.431522,3.170696,2.1449006
932,-6.2057858,11.184053,2.416751,4.1372375,3.4067955,2.2727242
950,-6.195018,11.1523485,1.672583,3.7862954,3.480252,2.2719605
968,-6.8303123,10.329217,0.2650051,3.4738379,3.1204524,2.4152086
986,-6.0975103,9.531211,-0.44626144,3.1369457,2.7262917,2.5422685
1004,-4.3782673,9.102896,-0.81954175,2.7013988,2.6364944,2.6357307
1021,-2.821138,8.467601,-0.9984053,2.3202188,2.605493,2.7105618
1039,-2.2779672,7.175477,-1.6821543,2.0040963,2.5088236,2.6919305
1057,-1.2693924,6.3457656,-2.3659034,1.7188221,2.0955732,2.5793786
1075,0.82612205,6.140581,-1.8777676,1.4312572,1.715615,2.3254113
1093,2.1212373,5.767899,-1.4554343,1.3165673,1.7243198,2.0393736
1111,2.8953154,5.35753,-2.0344975,1.4373659,1.8898643,1.884672
1129,4.540381,5.782854,-2.027319,1.5775595,2.4017694,1.7773124
1147,5.411967,6.102296,-1.8101703,1.6778941,3.2916474,1.4431691
1165,4.7174497,5.5543394,-3.9690945,1.8246545,3.6911533,1.1110111
1183,5.288138,5.628517,-5.371289,1.6667458,3.2852333,0.77931136
1201,6.068198,6.0323057,-4.761717,1.0722213,3.1859677,0.124769226
1219,4.6815577,5.1421757,-3.3583267,0.72601336,3.5095735,-0.46929723
1237,3.0269206,4.3722854,-1.8705891,0.90392786,4.0381246,-0.66614854
1255,1.2550355,4.400999,-0.7477571,1.4750868,4.734511,-0.72021013
1272,-0.68255264,4.7515473,-1.2137593,2.228131,5.1224103,-0.7012733
1290,-2.2420747,5.933004,-2.7672994,2.7241535,5.0281844,-0.58551437
1308,-2.7397819,7.2676005,-4.3968115,2.5222626,4.6265407,-0.2950479
1326,-3.1429725,9.116056,-7.000801,1.5800029,3.794695,0.17150041
1344,-3.7130625,9.405587,-6.986444,-0.07544186,2.341141,0.7147123
1362,-3.3086755,8.055437,-5.6033926,-1.8214475,0.733191,1.430341
1380,-1.3567305,5.939584,-2.4299114,-2.8223503,-0.6432411,2.1267273
1398,1.4045869,4.606782,0.55513483,-2.9452868,-1.3461943,2.4933991
1416,2.589034,3.7483566,2.781058,-2.409558,-1.3828462,2.681393
1434,2.6129622,2.9736803,3.8536408,-1.57084,-1.0126618,2.9174924
1452,2.1912274,2.2755744,3.9738803,-0.7499898,-0.51343226,3.2047517
1470,1.8687944,1.719243,3.2392836,-0.07009678,-0.18753563,3.4671185
1488,1.614557,0.8913264,2.07697,0.3791946,-0.08124508,3.7067304
1506,1.8478572,0.084346995,1.1425728,0.6443101,-0.0571159,3.9632938
1524,2.7505496,-0.57487565,0.41994038,0.93431836,-0.081855945,4.16885
1541,4.0911283,-0.9912268,-0.39661035,1.1983649,0.07742717,4.2707114
1559,5.6739807,-1.5756737,-2.2342982,1.3973542,0.047800206,4.224897
1577,7.5050883,-2.3228326,-3.4983068,1.323745,-0.2744312,4.0506473
1595,8.509476,-2.4628127,-3.7256248,0.93691456,-0.35934147,3.845244
1613,7.9818583,-2.464009,-3.4426737,0.57619864,-0.1226312,3.6464074
1631,6.641279,-3.0143583,-3.5431721,0.2863431,0.09285152,3.5327864
1649,6.6963143,-4.486542,-4.4129634,0.07925977,-0.23671028,3.572798
1667,9.11785,-5.2259245,-4.0414777,-0.049021937,-0.90301156,3.5475998
1685,10.171889,-5.2923255,-3.6891344,-0.13041973,-0.8184067,3.147483
1703,8.606983,-5.803193,-3.7531424,-0.124769226,-0.35338554,2.8883235
1721,7.920243,-6.187241,-3.5336008,-0.06765333,-0.11484267,2.9176452
1739,7.530213,-5.964709,-3.1740792,0.035888333,0.12110403,2.891378
1757,6.945766,-6.0323057,-2.9030921,0.1966986,0.25702155,2.743854
1775,6.204589,-6.390033,-2.85045,0.31597003,0.32421672,2.5975518
1792,5.596214,-7.068398,-3.417549,0.31322116,0.13591751,2.5954137
1810,6.2081785,-7.437491,-3.4073794,0.14462234,-0.061239243,2.6642888
1828,7.047461,-7.433902,-3.0149565,-0.05497787,-0.004428773,2.5708263
1846,7.350153,-7.7623167,-2.030908,-0.14538592,0.31123585,2.274404
1864,6.8285174,-8.133802,-1.2119647,0.071776666,0.41874814,1.9833268
1882,6.527022,-8.489735,-0.62153566,0.5039638,0.29642236,1.6574302
1900,6.470791,-8.58784,-0.08135597,0.85154617,0.49388456,1.25319
1918,5.7810597,-9.894321,-0.7160522,1.20371,0.54305923,0.8481864
1936,6.632306,-10.07139,-1.5954145,1.2450961,0.6391178,0.82451534
1954,8.867801,-10.40818,-1.8765712,0.8700248,1.4436272,0.8579602
1972,8.472985,-12.263814,-0.6466603,0.77747875,2.0062342,1.0387764
1990,10.135399,-13.208381,0.19860429,1.2527319,1.8223637,1.2632693
2008,13.202997,-12.619148,-1.3884354,1.6545285,1.0430524,0.9036224
2026,14.696118,-12.096915,-3.7633119,1.1501065,-0.1151481,0.30069843
2043,16.713268,-11.581262,-3.5527434,0.020005837,-1.3034338,-0.20479257
2061,19.585253,-12.231511,-1.0456635,-0.70509124,-1.909412,-0.9947941
2079,20.221745,-13.067204,2.69372,-0.45937067,-1.6091717,-1.9459113
2097,18.479172,-13.191033,4.2921257,0.66691214,-0.5865834,-2.5068383
2115,16.689938,-12.454642,2.8671997,1.8463402,0.5884159,-2.7363708
2133,15.580266,-11.630913,0.064008005,2.4652994,0.9964739,-2.891378
2151,16.150356,-10.320244,-1.5308083,2.4026856,0.43967026,-3.2676709
2169,16.32563,-9.692128,-1.7431713,1.877647,-0.3736968,-4.024075
